phaseAngle,conductor,iPrimA,iSecFinalA,bMeasuredT
0,L1,4000,0.000114591559026165,0.0004
0,L2,-2000,0.000114591559026165,0.000400000000000001
0,L3,-2000,0.000114591559026165,0.0004
45,L1,2828.42712474619,0.000114591559026165,0.0004
45,L2,1035.27618041008,0.000114591559026165,0.000400000000000001
45,L3,-3863.70330515627,0.000114591559026165,0.0004
90,L1,0,0.000114591559026165,0.0004
90,L2,3464.10161513775,0.000114591559026165,0.000400000000000001
90,L3,-3464.10161513775,0.000114591559026165,0.0004
