phaseAngle,conductor,iPrimA,iSecAbs_A,iSecReal_A,iSecImag_A,bAvgMagnitude_T,hAvgMagnitude_A_m,eddyLosses_W,coreLosses_VA,storedEnergy_J,mu_r_real,mu_r_imag
0,Strom_L1,1385.64,13184516405423.4,-13184516405423.4,-858234.246356909,3.43282013856233e+15,5.32835417255622e-07,22498.6577500799,497940.962963572-11006.6127051282i,1112.24242635326,0,0
0,Strom_L2,-0,3047045.37535948,-3047045.27854177,768.124915879199,0.463621016020729,-3.46891046201224e-18,22498.65775008,47.6782417501117+5.69880556689878e-05i,23.3073912493828,0,0
0,Strom_L3,692.82,6588236235565.54,-6588236235565.54,254235.002322271,857681239440421,-7.65026007212224e-09,22498.6577500799,-73793.1981458781+1547.61918113677i,1112.24242635326,0,0
5,Strom_L1,1380.36722146385,13134346684358.6,-13134346684358.6,-496119.822137844,3.4067446470831e+15,-1.66554351801155e-07,22498.6577500799,494137.911968546-10923.9305744876i,1112.24242635326,0,0
5,Strom_L2,-0,3184448.26432741,-3184448.18324607,718.608837171365,0.427635311397459,1.02365901981278e-17,22498.65775008,48.2748666879346+9.43481998629897e-05i,23.3073912493828,0,0
5,Strom_L3,794.770453265464,7557714186733.97,-7557714186733.96,430653.76337388,1.12867404957983e+15,-5.59481945952613e-08,22498.6577500799,-97096.8305260968+2036.63282176832i,1112.24242635326,0,0
10,Strom_L1,1364.58901488384,12984212986015.7,-12984212986015.7,173422.768248814,3.3293073136287e+15,-8.97321657667295e-08,22498.6577500799,482888.848489463-10674.5156020006i,1112.24242635326,0,0
10,Strom_L2,-0,3297612.37485477,-3297612.30804184,663.811926197218,0.392919638730154,-4.11501068559634e-18,22498.65775008,49.1457101600214+0.000311547950714307i,23.3073912493828,0,0
10,Strom_L3,890.672223486056,8469673087977.37,-8469673087977.34,663700.080910821,1.41749302064671e+15,-5.28821171399912e-08,22498.6577500799,-121922.111967675+2557.2761074005i,1112.24242635326,0,0
15,Strom_L1,1338.42546193918,12735265918844.5,-12735265918844.4,-761922.3132179,3.20286512158851e+15,-1.51411436210166e-06,22498.6577500799,464526.74451729-10269.9990731442i,1112.24242635326,0,0
15,Strom_L2,-0,3262466.69995461,-3262466.69764039,122.882566036999,0.0614345229540649,-1.7021299512244e-19,22498.65775008,50.2635932593176+0.000100972291943447i,23.3073912493828,0,0
15,Strom_L3,979.795440283328,9317171878060.41,-9317171878060.36,1002059.19320594,1.71536231865823e+15,4.13193275402602e-07,22498.6577500799,-147528.992191484+3095.13531138464i,1112.24242635326,0,0
20,Strom_L1,1302.07568306579,12389393398076.2,-12389393398076.2,600731.629687132,3.03125653610981e+15,3.04592405374579e-08,22498.6577500799,439617.542131452-9719.4657440285i,1112.24242635326,0,0
20,Strom_L2,-0,3447981.55312233,-3447981.51075626,540.513526455175,0.331488239826793,1.33514743862536e-18,22498.65775008,51.595489062073-0.000137785187050151i,23.3073912493828,0,0
20,Strom_L3,1061.46182216338,10093762912022.9,-10093762912022.9,268817.777085003,2.01323218753917e+15,-3.40297642655244e-09,22498.6577500799,-173130.34215108+3632.29507955466i,1112.24242635326,0,0
25,Strom_L1,1255.81632202946,11949229753282.5,-11949229753282.2,2257744.12250768,2.81969685337966e+15,-4.14513458774211e-07,22498.6577500799,408916.822083108-9041.59566566564i,1112.24242635326,0,0
25,Strom_L2,-0,3364826.44045364,-3364826.44036209,24.8213683882062,0.0260928294215715,2.94403010310141e-20,22498.65775008,53.1008085785568+2.18242077855792e-05i,23.3073912493828,0,0
25,Strom_L3,1135.0498386486,10793533102518.3,-10793533102518.3,737423.585956522,2.30205096660512e+15,2.00359431580863e-07,22498.6577500799,-197948.35498891+4153.70344987893i,1112.24242635326,0,0
30,Strom_L1,1199.99944049987,11418127353007.5,-11418127353007.4,599965.872232821,2.57461533422348e+15,-1.02461440438037e-07,22498.6577500799,373352.111231563-8256.01795321316i,1112.24242635326,0,0
30,Strom_L2,0,3493583.32713216,-3493583.30407256,401.399124528601,0.286734254031114,4.12167081477051e-18,22498.65775008,54.7337292011829+3.74222461238537e-05i,23.3073912493828,0,0
30,Strom_L3,1199.99944049987,11411160468416.5,-11411160468416.3,2383562.50979612,2.57304460825808e+15,-1.36754380248085e-06,22498.6577500799,-221230.392947829+4642.81913345131i,1112.24242635326,0,0
35,Strom_L1,1135.0498386486,10800124231179.6,-10800124231179.5,1799450.57190991,2.30345682886931e+15,1.22144886039966e-06,22498.6577500799,334014.105115791-7386.58363815014i,1112.24242635326,0,0
35,Strom_L2,0,3476542.27437501,-3476542.25913421,325.531194999652,0.272422713219582,4.32184873746959e-19,22498.65775008,56.444362899449-0.000163877651639228i,23.3073912493828,0,0
35,Strom_L3,1255.81632202946,11941936743849.6,-11941936743849.5,727341.664465668,2.81797563197731e+15,-1.74357551963417e-07,22498.6577500799,-242278.550153936+5084.10312233291i,1112.24242635326,0,0
40,Strom_L1,1061.46182216338,10099922144272.1,-10099922144272.1,-430345.462467616,2.01445984204957e+15,-9.3419476829882e-08,22498.6577500799,292088.758924754-6460.82535392827i,1112.24242635326,0,0
40,Strom_L2,0,3321297.90817336,-3321297.86276961,-549.180043472974,0.0399974554697132,-2.25496858781317e-19,22498.65775008,58.180743061906+4.1000244940978e-05i,23.3073912493828,0,0
40,Strom_L3,1302.07568306579,12381820244583.8,-12381820244583.8,244183.799617864,3.02940054667675e+15,-4.05861267777774e-09,22498.6577500799,-260441.471421653+5466.32005334913i,1112.24242635326,0,0
