phaseAngle,conductor,iPrimA,iSecAbs_A,iSecReal_A,iSecImag_A,bAvgMagnitude_T,hAvgMagnitude_A_m,eddyLosses_W,coreLosses_VA,storedEnergy_J,mu_r_real,mu_r_imag,current_A
0,Strom_L1,1000,9515107670044.13,-9515107670044.1,850672.123577658,1.78792881594368e+15,-4.30658954337655e-08,22498.6577500799,259623.881593952-5732.61882006232i,1112.24242635326,0,0,1000
0,Strom_L2,-500,4760198607761.29,4760198607761.27,414850.343943521,447230629998663,-5.29937416312357e-08,22498.65775008,-6893.75348953034-10.2754096992244i,23.3073912493828,0,0,1000
0,Strom_L3,-500,4754651317702.78,4754651317702.75,-522537.453333167,446709540262518,6.14184826325632e-08,22498.6577500799,-38373.1221411944+805.972129075549i,1112.24242635326,0,0,1000
15,Strom_L1,965.925826289068,9190887869335.6,-9190887869335.55,918331.867748599,1.66816014160626e+15,-1.78349547825621e-07,22498.6577500799,242207.081195868-5349.28741400257i,1112.24242635326,0,0,1000
15,Strom_L2,-258.819045102521,2464060539622.08,2464060539622.07,251958.664701826,119835127310566,-2.61721125212544e-08,22498.65775008,-1755.90869279451-2.75062143291031i,23.3073912493828,0,0,1000
15,Strom_L3,-707.106781186548,6724092128092.1,6724092128092.09,402380.730531018,893419043104842,-7.91190599844493e-08,22498.6577500799,-76710.0963251666+1612.16040674313i,1112.24242635326,0,0,1000
30,Strom_L1,866.025403784439,8240323994397.79,-8240323994397.78,-381741.093357896,1.34094626279766e+15,-2.55233527198468e-07,22498.6577500799,194683.954445049-4299.6680804925i,1112.24242635326,0,0,1000
30,Strom_L2,0,53792.9124372856,-53782.6110112262,1052.70190491276,1.02023709856107,-1.06763275560418e-17,22498.65775008,93.5346877099244+4.72774201228502e-05i,23.3073912493828,0,0,1000
30,Strom_L3,-866.025403784439,8235296606972.85,8235296606972.85,36360.4549283552,1.34012834834405e+15,2.6897217690463e-08,22498.6577500799,-115034.192797554+2417.84464379378i,1112.24242635326,0,0,1000
45,Strom_L1,707.106781186548,6728198083880.87,-6728198083880.85,-556173.413384577,893964614681286,3.84537504315398e-07,22498.6577500799,129773.03152499-2866.59104096721i,1112.24242635326,0,0,1000
45,Strom_L2,258.819045102521,2464060019617.47,-2464060019617.3,-907053.937804673,119835076736298,-3.18305570975473e-08,22498.65775008,-1840.9551706643-2.75479937851241i,23.3073912493828,0,0,1000
45,Strom_L3,-965.925826289068,9185280702570.77,9185280702570.65,-1476326.48963964,1.66714269854982e+15,4.3371074790707e-07,22498.6577500799,-143068.055575755+3008.61009737055i,1112.24242635326,0,0,1000
60,Strom_L1,500,4757554202149.78,-4757554202149.78,-36728.0433682488,446982238726833,-1.32263282614328e-08,22498.6577500799,64875.9830451663-1433.28615382058i,1112.24242635326,0,0,1000
60,Strom_L2,500,4760199419739.03,-4760199419739.02,-244973.867740451,447230782580773,-3.87452652876131e-08,22498.65775008,-7041.01493655056-10.2828382394864i,23.3073912493828,0,0,1000
60,Strom_L3,-1000,9509301530699.87,9509301530699.85,-598743.208270357,1.78683788288419e+15,-4.27883933657682e-08,22498.6577500799,-153308.577390441+3224.20221000024i,1112.24242635326,0,0,1000
75,Strom_L1,258.819045102521,2462691459311.14,-2462691459311.14,125202.425719269,119768537595036,-4.70159173264685e-09,22498.6577500799,17379.8141548865-384.068045574117i,1112.24242635326,0,0,1000
