Phasenwinkel,Leiter,I_prim_A,I_sek_final_A,B_messung_T
0,L1,4000,1.68067619905041e-05,9.6e-05
0,L2,-2000,1.68067619905041e-05,9.59999999999999e-05
0,L3,-2000,1.68067619905042e-05,9.60000000000001e-05
45,L1,2828.42712474619,1.68067619905041e-05,9.6e-05
45,L2,1035.27618041008,1.68067619905041e-05,9.59999999999999e-05
45,L3,-3863.70330515627,1.68067619905042e-05,9.60000000000001e-05
90,L1,0,1.68067619905041e-05,9.6e-05
90,L2,3464.10161513775,1.68067619905041e-05,9.59999999999999e-05
90,L3,-3464.10161513775,1.68067619905042e-05,9.60000000000001e-05
