phaseAngle,conductor,iPrimA,iSecAbs_A,iSecReal_A,iSecImag_A,bAvgMagnitude_T,hAvgMagnitude_A_m,eddyLosses_W,coreLosses_VA,storedEnergy_J,mu_r_real,mu_r_imag
0,L1,5656.85,5.87816857537476e+15,-5.87816857537474e+15,-494191547.777667,5.60792130657048e+16,4.92756676605897e-06,21616.3657500801,26477041.3170005-551830.987344028i,5426.48482202869,0,0
0,L2,-2828.425,2.93754901421508e+15,2.93754901374417e+15,-52598532286.5671,1.40123986211551e+16,0.0844464476762119,21616.3657500802,-187089.033536187+619.074095593048i,22.393384508686,0,0
0,L3,-2828.425,2.93975631178966e+15,2.93975631162434e+15,31176757638.9748,1.40230648566327e+16,0.00680253236133489,21616.3657500801,7754356.00740138+42328.8370894117i,5426.48482202869,0,0
6.42857142857143,L1,5621.28091453459,5.84120249843655e+15,-5.84120249800048e+15,-71374871461.8717,5.53760992096536e+16,-0.0654258028635682,21616.3657500801,26145433.93648-544286.699228073i,5426.48482202869,0,0
6.42857142857143,L2,-2262.12919777313,2.34942312467243e+15,2.3494231245093e+15,-27686076391.4572,8.96323366288491e+15,0.0241928900509173,21616.3657500802,-119559.189136858+393.283687608059i,22.393384508686,0,0
6.42857142857143,L3,-3359.15171676146,3.49138661291937e+15,3.49138661222024e+15,69870352409.9243,1.9779539248874e+16,-0.0948221568063246,21616.3657500801,10937833.0081974+59911.6243979953i,5426.48482202869,0,0
12.8571428571429,L1,5515.02096002575,5.7307719042143e+15,-5.73077190421169e+15,-5477046266.80849,5.33020705219851e+16,0.00994312847345106,21616.3657500801,25166363.3433771-524417.235200269i,5426.48482202869,0,0
12.8571428571429,L2,-1667.38580836632,1.73171964927799e+15,1.73171964905665e+15,-27687466983.119,4.86964620631218e+15,0.00296462755756429,21616.3657500802,-64825.489248855+214.101781203594i,22.393384508686,0,0
12.8571428571429,L3,-3847.63515165943,3.9991103047727e+15,3.99911030448914e+15,-47623426247.1976,2.59505792959498e+16,-0.0524573572249555,21616.3657500801,14350835.9914111+77690.6532050538i,5426.48482202869,0,0
19.2857142857143,L1,5339.40641705489,5.54837069080176e+15,-5.54837069080176e+15,235794995.22115,4.99630301147612e+16,-0.00052014143560604,21616.3657500801,23590081.139332-491630.887857632i,5426.48482202869,0,0
19.2857142857143,L2,-1051.67407497953,1.0922512800778e+15,1.09225127992147e+15,-18480214487.2358,1.93725756187691e+15,0.00686123325336224,21616.3657500802,-25637.2070588674+85.2210815959827i,22.393384508686,0,0
