phaseAngle,conductor,iPrimA,iSecAbs_A,iSecReal_A,iSecImag_A,bAvgMagnitude_T,hAvgMagnitude_A_m,eddyLosses_W,coreLosses_VA,storedEnergy_J,mu_r_real,mu_r_imag
0,L1,5656.85,5.87816857537476e+15,-5.87816857537474e+15,-494191547.777667,5.60792130657048e+16,4.92756676605897e-06,21616.3657500801,26477041.3170005-551830.987344028i,5426.48482202869,0,0
0,L2,-2828.425,2.93754901421508e+15,2.93754901374417e+15,-52598532286.5671,1.40123986211551e+16,0.0844464476762119,21616.3657500802,-187089.033536187+619.074095593048i,22.393384508686,0,0
0,L3,-2828.425,2.93975631178966e+15,2.93975631162434e+15,31176757638.9748,1.40230648566327e+16,0.00680253236133489,21616.3657500801,7754356.00740138+42328.8370894117i,5426.48482202869,0,0
15,L1,5464.09751044332,5.677858671451e+15,-5.67785867130081e+15,41297690457.044,5.23223195958379e+16,0.0836340913033257,21616.3657500801,24703674.2216034-515186.889173974i,5426.48482202869,0,0
15,L2,-1464.10051528819,1.52059531756078e+15,1.52059531695311e+15,-42988745702.1765,3.75465067793827e+15,-0.023509814447459,21616.3657500802,-49921.5705403189+166.090914824577i,22.393384508686,0,0
15,L3,-3999.99699515512,4.15741160510186e+15,4.15741160487739e+15,43202111355.0738,2.80457036144933e+16,-0.0637970203834541,21616.3657500801,15509657.5304301+84635.8140262524i,5426.48482202869,0,0
30,L1,4898.975805398,5.09069244976528e+15,-5.09069244967357e+15,-30557553230.7107,4.20602207842476e+16,0.0443802618980697,21616.3657500801,19858820.93896-413643.577488833i,5426.48482202869,0,0
30,L2,0,98438.805026661,8245.7340827278,-98092.8448181309,5.46697316263441,-1.29940577328867e-15,21616.3657500802,192.927413443399+0.00193534699725497i,22.393384508686,0,0
30,L3,-4898.975805398,5.09186906746421e+15,5.09186906728473e+15,42752221113.1375,4.2070217235909e+16,0.0624201903306005,21616.3657500801,23266511.5453551+126921.762649211i,5426.48482202869,0,0
45,L1,3999.99699515512,4.15653261962692e+15,-4.15653261946844e+15,-36297055411.6713,2.80401418672979e+16,-0.0367800075230056,21616.3657500801,13239593.1555991-275707.694891805i,5426.48482202869,0,0
45,L2,1464.10051528819,1.52059240438458e+15,-1.52059240434051e+15,11577126014.63,3.75463629162023e+15,-0.00198803360317922,21616.3657500802,-50173.4210433104+164.196992252129i,22.393384508686,0,0
45,L3,-5464.09751044332,5.67915177081843e+15,5.67915177027166e+15,-78805986771.4008,5.23344006102257e+16,-0.141745043673511,21616.3657500801,28944178.7472295+156774.759629578i,5426.48482202869,0,0
60,L1,2828.425,2.93909260757405e+15,-2.93909260678186e+15,68239793544.022,1.40198816919457e+16,0.00254822746472804,21616.3657500801,6619899.26136873-138240.657203231i,5426.48482202869,0,0
60,L2,2828.425,2.93754185556704e+15,-2.93754185543428e+15,27928342906.3781,1.40123303263341e+16,-0.0249216493864283,21616.3657500802,-187526.360898994+614.048636216498i,22.393384508686,0,0
60,L3,-5656.85,5.87932589194739e+15,5.87932588936671e+15,174199202916.941,5.60887003285624e+16,0.526379661198364,21616.3657500801,31021744.0232118+170563.625236779i,5426.48482202869,0,0
75,L1,1464.10051528819,1.52140734242608e+15,-1.52140734198629e+15,36581554488.6443,3.75671967825476e+15,-0.00992586937091184,21616.3657500801,1774053.03341771-37052.1007202234i,5426.48482202869,0,0
75,L2,3999.99699515512,4.15433129292395e+15,-4.15433129288675e+15,-17581233804.1498,2.80249272622938e+16,0.00131427675875951,21616.3657500802,-375061.498121485+1218.23425739909i,22.393384508686,0,0
75,L3,-5464.09751044332,5.67909379200521e+15,5.67909379135828e+15,85720243760.9448,5.23333331405272e+16,0.404052508676493,21616.3657500801,28945502.8717778+158267.684548028i,5426.48482202869,0,0
90,L1,0,114736310.130634,-114736225.174941,139624.490122416,0.364733515180805,-4.54477118848154e-16,21616.3657500801,-4.40794640595025+0.00104737723223615i,5426.48482202869,0,0
90,L2,4898.975805398,5.08801862771086e+15,-5.0880186265038e+15,110828776484.962,4.2037765705621e+16,-0.387219942946048,21616.3657500802,-562538.099867577+1855.93318162585i,22.393384508686,0,0
90,L3,-4898.975805398,5.09179822827896e+15,5.09179822824575e+15,-18391917572.3164,4.20690485609064e+16,0.015123997701581,21616.3657500801,23269385.2613093+126430.662672069i,5426.48482202869,0,0
