phaseAngle,conductor,iPrimA,iSecAbs_A,iSecReal_A,iSecImag_A,bAvgMagnitude_T,hAvgMagnitude_A_m,eddyLosses_W,coreLosses_VA,storedEnergy_J,mu_r_real,mu_r_imag,current_A
0,L1,1000,1.03912715068502e+15,-1.03912715066888e+15,5790462863.83774,1.75248868284062e+15,-0.00168727062954921,21616.3657500801,827423.08801215-17247.9761288443i,5426.48482202869,0,0,1000
0,L2,-500,519295682421866,519295682375705,-6924025664.16282,437896691165213,0.00246898862109884,21616.3657500802,-5846.5669047698+19.2514725663108i,22.393384508686,0,0,1000
0,L3,-500,519683004359200,519683004349985,-3094766094.22745,438225159293930,-0.000777337508946105,21616.3657500801,242319.698130403+1315.91539902471i,5426.48482202869,0,0,1000
15,L1,965.925826289068,1.00371769825107e+15,-1.00371769824773e+15,-2590093886.82615,1.63508749380676e+15,0.000344964593819272,21616.3657500801,772000.456993835-16083.8115013853i,5426.48482202869,0,0,1000
15,L2,-258.819045102521,268804744053576,268804744034615,-3192757828.10947,117331898653128,-0.000452595973422685,21616.3657500802,-1560.05593921988+5.14487387690577i,22.393384508686,0,0,1000
15,L3,-707.106781186548,734927824485184,734927824483554,1547716730.75169,876414738472994,-0.000410084957764927,21616.3657500801,484676.301471608+2639.20796682841i,5426.48482202869,0,0,1000
30,L1,866.025403784439,899903914956937,-899903914874461,12183666489.4333,1.31434721700938e+15,-0.00551072332577518,21616.3657500801,620575.520155559-12950.2206507376i,5426.48482202869,0,0,1000
30,L2,0,15734.0769635983,3284.72214472148,-15387.3902377372,0.170838427313952,-2.39351230258025e-17,21616.3657500802,6.0289312053087-3.4758081948972e-06i,22.393384508686,0,0,1000
30,L3,-866.025403784439,900111694447229,900111694302826,16123229264.3831,1.31465896588903e+15,-0.00698717839903324,21616.3657500801,727059.859727629+3982.61237835736i,5426.48482202869,0,0,1000
45,L1,707.106781186548,734772557669352,-734772557663229,-2999641875.92691,876241213539818,0.000249131556968293,21616.3657500801,413722.248354328-8618.04846738494i,5426.48482202869,0,0,1000
45,L2,258.819045102521,268807308096502,-268807308082466,2746968609.98619,117334137049768,-0.000149693338269681,21616.3657500802,-1567.95714092263+5.14166729268534i,22.393384508686,0,0,1000
45,L3,-965.925826289068,1.00394960120543e+15,1.00394960118768e+15,5969770385.50171,1.63547581996247e+15,0.00108053261787336,21616.3657500801,904529.9814272+4929.24486424589i,5426.48482202869,0,0,1000
