phaseAngle,conductor,iPrimA,iSecAbs_A,iSecReal_A,iSecImag_A,bAvgMagnitude_T,hAvgMagnitude_A_m,eddyLosses_W,coreLosses_VA,storedEnergy_J,mu_r_real,mu_r_imag,current_A
0,L1,1000,1.03912715068502e+15,-1.03912715066888e+15,5790462863.83774,1.75248868284062e+15,-0.00168727062954921,21616.3657500801,827423.08801215-17247.9761288443i,5426.48482202869,0,0,1000
0,L2,-500,519295682421866,519295682375705,-6924025664.16282,437896691165213,0.00246898862109884,21616.3657500802,-5846.5669047698+19.2514725663108i,22.393384508686,0,0,1000
0,L3,-500,519683004359200,519683004349985,-3094766094.22745,438225159293930,-0.000777337508946105,21616.3657500801,242319.698130403+1315.91539902471i,5426.48482202869,0,0,1000
45,L1,707.106781186548,734772557669352,-734772557663229,-2999641875.92691,876241213539818,0.000249131556968293,21616.3657500801,413722.248354328-8618.04846738494i,5426.48482202869,0,0,1000
45,L2,258.819045102521,268807308096502,-268807308082466,2746968609.98619,117334137049768,-0.000149693338269681,21616.3657500802,-1567.95714092263+5.14166729268534i,22.393384508686,0,0,1000
45,L3,-965.925826289068,1.00394960120543e+15,1.00394960118768e+15,5969770385.50171,1.63547581996247e+15,0.00108053261787336,21616.3657500801,904529.9814272+4929.24486424589i,5426.48482202869,0,0,1000
90,L1,0,20289437.6265844,-20289428.1369484,19623.4214038218,0.0113977872724292,1.14363137687961e-17,21616.3657500801,-0.137770110254054-3.67188913103215e-06i,5426.48482202869,0,0,1000
90,L2,866.025403784439,899449565725077,-899449565637908,12522290397.2164,1.31369901100015e+15,-0.00308440724329368,21616.3657500802,-17579.297901816+57.6365020726095i,22.393384508686,0,0,1000
90,L3,-866.025403784439,900112505552133,900112505508081,8905205630.97115,1.31466139448707e+15,0.000167526206783292,21616.3657500801,727162.055084146+3967.77920308647i,5426.48482202869,0,0,1000
0,L1,2000,2.07825430137004e+15,-2.07825430133777e+15,11580925727.6755,7.00995473136249e+15,-0.00674908251819682,21616.3657500801,3309692.3520486-68991.9045153771i,5426.48482202869,0,0,2000
0,L2,-1000,1.03859136484373e+15,1.03859136475141e+15,-13848051328.3256,1.75158676466085e+15,0.00987595448439538,21616.3657500802,-23386.2676190792+77.0058902652432i,22.393384508686,0,0,2000
