conductor,eddyLosses_W,coreLosses_VA,current_A,GroupCount_rmsResults,iSecAbs_A_RMS,GroupCount_tempTable,bAvgMagnitude_T_RMS,GroupCount_rmsResults_1,hAvgMagnitude_A_m_RMS,GroupCount_tempTable_1,storedEnergy_J_RMS
L1,21616.3657500801,-0.137770110254054-3.67188913103215e-06i,1000,1,20289437.6265844,1,0.0113977872724292,1,1.14363137687961e-17,1,5426.48482202869
L1,21616.3657500801,-0.551080441016217-1.46875565241286e-05i,2000,1,40578875.2531688,1,0.0455911490897168,1,4.57452550751845e-17,1,5426.48482202869
L1,21616.3657500801,-1.23971802335599-0.00016205872734138i,3000,1,60871562.4707027,1,0.10257700819332,1,2.91755829420931e-17,1,5426.48482202869
L1,21616.3657500801,-2.20432176406487-5.87502260965144e-05i,4000,1,81157750.5063377,1,0.182364596358867,1,1.82981020300738e-16,1,5426.48482202869
L1,21616.3657500801,-3.44390238564426+0.000462973711876608i,5000,1,101452467.899182,1,0.284937267479706,1,1.11854188564731e-16,1,5426.48482202869
L1,21616.3657500801,413722.248354328-8618.04846738494i,1000,1,734772557669352,1,876241213539818,1,0.000249131556968293,1,5426.48482202869
L1,21616.3657500801,827423.08801215-17247.9761288443i,1000,1,1.03912715068502e+15,1,1.75248868284062e+15,1,0.00168727062954921,1,5426.48482202869
L1,21616.3657500801,1654888.99341731-34472.1938695397i,2000,1,1.4695451153387e+15,1,3.50496485415927e+15,1,0.00099652622787317,1,5426.48482202869
L1,21616.3657500801,3309692.3520486-68991.9045153771i,2000,1,2.07825430137004e+15,1,7.00995473136249e+15,1,0.00674908251819682,1,5426.48482202869
L1,21616.3657500801,3723596.36501294-77570.1306009098i,3000,1,2.20432745103875e+15,1,7.88624088579549e+15,1,0.00358191172696554,1,5426.48482202869
L1,21616.3657500801,6619555.97366924-137888.775478159i,4000,1,2.93909023067741e+15,1,1.40198594166371e+16,1,0.00398610491149268,1,5426.48482202869
L1,21616.3657500801,7446525.98191432-155291.752573338i,3000,1,3.11734564358055e+15,1,1.57720358015625e+16,1,0.0125027800405722,1,5426.48482202869
L1,21616.3657500801,10343280.2844932-215543.891369771i,5000,1,3.67386326293248e+15,1,2.19060359980541e+16,1,0.000142913619426497,1,5426.48482202869
L1,21616.3657500801,13238769.4081944-275967.618061508i,4000,1,4.15650860274008e+15,1,2.803981892545e+16,1,0.0269963300727873,1,5426.48482202869
L1,21616.3657500801,20685453.1255696-431060.958111025i,5000,1,5.19562907732457e+15,1,4.38121044786004e+16,1,0.00199403699625771,1,5426.48482202869
L2,21616.3657500802,-1567.95714092263+5.14166729268534i,1000,1,268807308096502,1,117334137049768,1,0.000149693338269681,1,22.393384508686
L2,21616.3657500802,-5846.5669047698+19.2514725663108i,1000,1,519295682421866,1,437896691165213,1,0.00246898862109884,1,22.393384508686
L2,21616.3657500802,-6271.82856369051+20.5666691707413i,2000,1,537614616193004,1,469336548199073,1,0.000598773353078723,1,22.393384508686
L2,21616.3657500802,-14111.629394065+46.4007810742724i,3000,1,806422388089492,1,1.05600844812903e+15,1,0.00244346673253243,1,22.393384508686
L2,21616.3657500802,-17579.297901816+57.6365020726095i,1000,1,899449565725077,1,1.31369901100015e+15,1,0.00308440724329368,1,22.393384508686
L2,21616.3657500802,-23386.2676190792+77.0058902652432i,2000,1,1.03859136484373e+15,1,1.75158676466085e+15,1,0.00987595448439538,1,22.393384508686
L2,21616.3657500802,-25087.314254762+82.2666766829654i,4000,1,1.07522923238601e+15,1,1.87734619279629e+15,1,0.00239509341231489,1,22.393384508686
L2,21616.3657500802,-39198.5654441354+128.752292289781i,5000,1,1.3440297134682e+15,1,2.93332362644877e+15,1,0.00393132865751324,1,22.393384508686
L2,21616.3657500802,-52619.9947252196+172.848928622101i,3000,1,1.55787790422854e+15,1,3.94102396134973e+15,1,0.0084324874245052,1,22.393384508686
L2,21616.3657500802,-70317.1916072639+230.546008290438i,2000,1,1.79889913145015e+15,1,5.2547960440006e+15,1,0.0123376289731747,1,22.393384508686
L2,21616.3657500802,-93545.0704763169+308.023561060973i,4000,1,2.07718272968746e+15,1,7.00634705864341e+15,1,0.0395038179375815,1,22.393384508686
L2,21616.3657500802,-146163.156430946+484.091596969158i,5000,1,2.59646837533339e+15,1,1.0947332644065e+16,1,0.0422863112044123,1,22.393384508686
L2,21616.3657500802,-158214.56193605+520.880056946562i,3000,1,2.69834168648606e+15,1,1.1823229661948e+16,1,0.0990529726925362,1,22.393384508686
L2,21616.3657500802,-281268.766429056+922.184033161752i,4000,1,3.59779826290031e+15,1,2.10191841760024e+16,1,0.0493505158926989,1,22.393384508686
L2,21616.3657500802,-439482.865466517+1434.29354334579i,5000,1,4.4972243098591e+15,1,3.28421317705075e+16,1,0.00114263848273918,1,22.393384508686
L3,21616.3657500801,242319.698130403+1315.91539902471i,1000,1,519683004359200,1,438225159293930,1,0.000777337508946105,1,5426.48482202869
L3,21616.3657500801,727162.055084146+3967.77920308647i,1000,1,900112505552133,1,1.31466139448707e+15,1,0.000167526206783292,1,5426.48482202869
L3,21616.3657500801,904529.9814272+4929.24486424589i,1000,1,1.00394960120543e+15,1,1.63547581996247e+15,1,0.00108053261787336,1,5426.48482202869
L3,21616.3657500801,969278.792521612+5263.66159609885i,2000,1,1.0393660087184e+15,1,1.75290063717572e+15,1,0.00310935003578442,1,5426.48482202869
L3,21616.3657500801,2180843.86602785+11862.1395101823i,3000,1,1.55904400547245e+15,1,3.94400109755531e+15,1,0.000657997446005012,1,5426.48482202869
L3,21616.3657500801,2908648.22033659+15871.1168123459i,2000,1,1.80022501110427e+15,1,5.25864557794829e+15,1,0.000670104827133169,1,5426.48482202869
L3,21616.3657500801,3618119.9257088+19716.9794569836i,2000,1,2.00789920241085e+15,1,6.54190327984988e+15,1,0.00432213047149345,1,5426.48482202869
L3,21616.3657500801,3877115.17008645+21054.6463843954i,4000,1,2.0787320174368e+15,1,7.01160254870289e+15,1,0.0124374001431377,1,5426.48482202869
L3,21616.3657500801,6058035.11599329+32969.9122041431i,5000,1,2.59841685253147e+15,1,1.0955644420121e+16,1,0.00223225403231506,1,5426.48482202869
L3,21616.3657500801,6544517.47490313+35553.5206135582i,3000,1,2.70034115707618e+15,1,1.18319844525353e+16,1,0.000598289960806455,1,5426.48482202869
L3,21616.3657500801,8140704.66502639+44223.3619083077i,3000,1,3.01183051032618e+15,1,1.47191035770326e+16,1,0.018188694089708,1,5426.48482202869
L3,21616.3657500801,11634592.8813463+63484.4672493835i,4000,1,3.60045002220853e+15,1,2.10345823117932e+16,1,0.00268041930853268,1,5426.48482202869
L3,21616.3657500801,14472479.7028352+78867.9178279342i,4000,1,4.0157984048217e+15,1,2.61676131193995e+16,1,0.0172885218859738,1,5426.48482202869
L3,21616.3657500801,18179156.9480614+98650.2474583272i,5000,1,4.50055327290234e+15,1,3.28663996902453e+16,1,0.0299576468247339,1,5426.48482202869
L3,21616.3657500801,22612831.5961457+122316.634067412i,5000,1,5.01970666016245e+15,1,4.08862219604923e+16,1,0.0848199630422525,1,5426.48482202869
